S/N,PHONE,SEX,DOB,REGISTRATION_DATE,FIRST_REFERENCE_TRANSACTION_DATE_SINCE_2020,LAST_TRANSACTION_DATE_WITHIN_30_DAYS,CUSTOMER_COMPLAINTS,FREQUENCY,MONETARY
1,623172211,MALE,1/1/1995,2/23/2017,1/1/2020,1/6/2020,0,3,6000
2,625615024,MALE,2/4/2001,5/16/2019,1/23/2020,1/30/2020,1,2,3500
3,628057837,MALE,3/12/2000,12/23/2019,1/3/2020,1/18/2020,2,1,2000
4,630500650,MALE,12/6/1999,6/6/2018,1/12/2020,2/10/2020,3,4,10000
5,632943463,FEMALE,3/7/1980,7/7/2019,1/7/2020,1/13/2020,0,4,5000
6,635386276,FEMALE,4/8/1974,8/12/2019,1/16/2020,1/19/2020,0,4,6000
7,637829089,MALE,9/23/1974,12/12/2019,1/12/2020,1/18/2020,0,3,4500
8,640271902,MALE,4/14/2000,7/17/2019,1/17/2020,1/21/2020,2,3,4000
9,642714715,FEMALE,5/16/1996,4/2/2018,1/16/2020,1/23/2020,1,3,1500
10,645157528,FEMALE,6/12/1998,6/19/2017,1/31/2020,2/18/2020,1,2,7000
11,647600341,MALE,6/13/1984,7/7/2014,1/3/2020,1/6/2020,2,2,9000
12,650043154,MALE,3/7/1990,1/12/2010,1/30/2020,2/20/2020,0,1,8000
13,652485967,FEMALE,4/28/1987,3/13/2016,1/20/2020,2/13/2020,0,1,1500
14,654928780,FEMALE,7/11/1997,4/18/2019,1/19/2020,1/24/2020,1,1,3000
15,657371593,MALE,9/29/1994,12/31/2009,1/27/2020,2/11/2020,0,2,4000
16,659814406,MALE,8/7/2001,12/1/2018,1/1/2020,1/14/2020,0,1,3500
17,662257219,FEMALE,6/16/1990,3/5/2015,1/6/2020,2/1/2020,2,2,6000
18,664700032,MALE,7/26/1989,7/17/2019,1/28/2020,2/14/2020,2,4,8000
19,667142845,FEMALE,11/28/1995,12/31/2013,1/7/2020,1/17/2020,1,4,11000
20,669585658,FEMALE,4/12/1993,1/13/2014,1/19/2020,1/21/2020,1,2,2500
