S/N,PHONE,SEX,DOB,REGISTRATION_DATE,FIRST_REFERENCE_TRANSACTION_DATE_SINCE_2020,LAST_TRANSACTION_DATE_WITHIN_30_DAYS,CUSTOMER_COMPLAINTS,FREQUENCY,MONETARY,AGE,TENURE_DAYS,DATE_AFTER_THIRTY_DAYS_TIME_2,RECENCY,RN,FN,MN,TOTAL,AVG,R_SCORE,F_SCORE,M_SCORE,T_SCORE,CATEGORY
1,623172211,MALE,1995-01-01,2017-02-23,2020-01-01,2020-01-06,0,3,6000,27,5,2020-01-31,31,0.0,0.5,0.72,1.22,0.41,1,1,3,5,CHURN
2,625615024,MALE,2001-02-04,2019-05-16,2020-01-23,2020-01-30,1,2,3500,21,12,2020-02-22,9,0.71,0.75,0.85,2.31,0.77,3,3,3,9,NO CHURN
3,628057837,MALE,2000-03-12,2019-12-23,2020-01-03,2020-01-18,2,1,2000,21,5,2020-02-02,29,0.06,1.0,0.92,1.98,0.66,1,3,3,7,POTENTIAL CHURN
4,630500650,MALE,1999-12-06,2018-06-06,2020-01-12,2020-02-10,3,4,10000,22,22,2020-02-11,20,0.35,0.25,0.51,1.11,0.37,1,1,1,3,CHURN
5,632943463,FEMALE,1980-03-07,2019-07-07,2020-01-07,2020-01-13,0,4,5000,41,21,2020-02-06,25,0.19,0.25,0.77,1.21,0.4,1,1,3,5,CHURN
6,635386276,FEMALE,1974-04-08,2019-08-12,2020-01-16,2020-01-19,0,4,6000,47,16,2020-02-15,16,0.48,0.25,0.72,1.45,0.48,1,1,3,5,CHURN
7,637829089,MALE,1974-09-23,2019-12-12,2020-01-12,2020-01-18,0,3,4500,47,16,2020-02-11,20,0.35,0.5,0.79,1.64,0.55,1,1,3,5,CHURN
8,640271902,MALE,2000-04-14,2019-07-17,2020-01-17,2020-01-21,2,3,4000,21,11,2020-02-16,15,0.52,0.5,0.82,1.84,0.61,1,1,3,5,CHURN
9,642714715,FEMALE,1996-05-16,2018-04-02,2020-01-16,2020-01-23,1,3,1500,25,26,2020-02-15,16,0.48,0.5,0.95,1.93,0.64,1,1,3,5,CHURN
10,645157528,FEMALE,1998-06-12,2017-06-19,2020-01-31,2020-02-18,1,2,7000,23,9,2020-03-01,1,0.97,0.75,0.67,2.39,0.8,3,3,2,8,NO CHURN
11,647600341,MALE,1984-06-13,2014-07-07,2020-01-03,2020-01-06,2,2,9000,37,21,2020-02-02,29,0.06,0.75,0.56,1.37,0.46,1,3,1,5,CHURN
12,650043154,MALE,1990-03-07,2010-01-12,2020-01-30,2020-02-20,0,1,8000,31,16,2020-02-29,2,0.94,1.0,0.62,2.56,0.85,3,3,2,8,NO CHURN
13,652485967,FEMALE,1987-04-28,2016-03-13,2020-01-20,2020-02-13,0,1,1500,34,15,2020-02-19,12,0.61,1.0,0.95,2.56,0.85,2,3,3,8,NO CHURN
14,654928780,FEMALE,1997-07-11,2019-04-18,2020-01-19,2020-01-24,1,1,3000,24,10,2020-02-18,13,0.58,1.0,0.87,2.45,0.82,1,3,3,7,POTENTIAL CHURN
15,657371593,MALE,1994-09-29,2009-12-31,2020-01-27,2020-02-11,0,2,4000,27,0,2020-02-26,5,0.84,0.75,0.82,2.41,0.8,3,3,3,9,NO CHURN
16,659814406,MALE,2001-08-07,2018-12-01,2020-01-01,2020-01-14,0,1,3500,20,27,2020-01-31,31,0.0,1.0,0.85,1.85,0.62,1,3,3,7,POTENTIAL CHURN
17,662257219,FEMALE,1990-06-16,2015-03-05,2020-01-06,2020-02-01,2,2,6000,31,23,2020-02-05,26,0.16,0.75,0.72,1.63,0.54,1,3,3,7,POTENTIAL CHURN
18,664700032,MALE,1989-07-26,2019-07-17,2020-01-28,2020-02-14,2,4,8000,32,11,2020-02-27,4,0.87,0.25,0.62,1.74,0.58,3,1,2,6,CHURN
19,667142845,FEMALE,1995-11-28,2013-12-31,2020-01-07,2020-01-17,1,4,11000,26,0,2020-02-06,25,0.19,0.25,0.46,0.9,0.3,1,1,1,3,CHURN
20,669585658,FEMALE,1993-04-12,2014-01-13,2020-01-19,2020-01-21,1,2,2500,28,15,2020-02-18,13,0.58,0.75,0.9,2.23,0.74,1,3,3,7,POTENTIAL CHURN
21,672028471,FEMALE,1992-04-19,2019-04-07,2020-01-30,2020-02-05,1,3,4500,29,21,2020-02-29,2,0.94,0.5,0.79,2.23,0.74,3,1,3,7,POTENTIAL CHURN
22,674471284,MALE,1991-08-18,2016-03-15,2020-01-20,2020-02-09,0,3,6700,30,13,2020-02-19,12,0.61,0.5,0.68,1.79,0.6,2,1,2,5,CHURN
23,676914097,MALE,1981-07-23,2017-05-06,2020-01-19,2020-02-14,0,4,4300,40,22,2020-02-18,13,0.58,0.25,0.81,1.64,0.55,1,1,3,5,CHURN
24,679356910,MALE,1982-09-29,2019-06-19,2020-01-27,2020-02-12,0,1,1000,39,9,2020-02-26,5,0.84,1.0,0.97,2.81,0.94,3,3,3,9,NO CHURN
